"district","hour","mode1","mode2","mode3"
"006","3pm",3.1094,80.6863,16.2043
"006","4pm",1.9162,84.6652,13.4185
"006","5pm",4.0999,86.5394,9.3607
"006","6pm",5.1359,85.9634,8.9007
"006","7pm",6.9555,82.5556,10.4888
"006","8pm",8.9712,81.5047,9.5241
"006","9pm",7.914,82.7452,9.3408
"006","10pm",8.8478,81.7082,9.4441
"006","11pm",8.5504,82.3229,9.1267
"006","12pm",8.4752,82.4784,9.0464
"006","1am",8.3186,82.8021,8.8793
"006","2am",8.2702,82.9021,8.8276
"006","3am",8.2702,82.9021,8.8276
"007","4am",4.3321,71.6646,24.0033
"007","5am",4.2514,71.8079,23.9408
"007","6am",3.1846,73.1879,23.6275
"007","7am",3.1913,72.1913,24.6174
"007","8am",0.8317,71.3921,27.7762
"007","9am",0.7025,75.1329,24.1646
"007","10am",1.5286,75.6454,22.826
"007","11am",1.4714,77.413,21.1156
"007","12am",1.5566,77.0673,21.3761
"007","1pm",1.3953,74.9197,23.6849
"007","2pm",1.9847,72.5351,25.4803
"007","3pm",4.2236,72.8677,22.9087
"007","4pm",3.1539,69.388,27.4581
"007","5pm",3.4846,65.9415,30.5739
"007","6pm",6.242,66.1908,27.5673
"007","7pm",5.5607,67.4082,27.0311
"007","8pm",7.3857,65.9261,26.6882
"007","9pm",5.7611,72.0281,22.2108
"007","10pm",5.0052,71.8989,23.0959
"007","11pm",5.1238,71.2328,23.6434
"007","12pm",5.0916,71.4136,23.4948
"007","1am",5.0835,71.4591,23.4574
"007","2am",5.1383,71.1516,23.7101
"007","3am",5.0633,71.5724,23.3643
"008","4am",8.8668,63.8478,27.2854
"008","5am",8.9535,63.4941,27.5524
"008","6am",8.9535,63.4941,27.5524
"008","7am",9.1977,62.4985,28.3038
"008","8am",5.8369,64.2747,29.8884
"008","9am",6.9985,62.9711,30.0304
"008","10am",5.8469,68.1424,26.0107
"008","11am",4.7723,71.7154,23.5124
"008","12am",5.8116,69.6652,24.5232
"008","1pm",5.1153,70.2764,24.6083
"008","2pm",6.3878,69.905,23.7072
"008","3pm",8.1487,65.6722,26.1791
"008","4pm",8.2508,67.8211,23.9282
"008","5pm",11.8508,60.591,27.5582
"008","6pm",11.8698,60.1098,28.0204
"008","7pm",12.8915,60.1725,26.936
"008","8pm",10.3689,62.7265,26.9046
"008","9pm",8.7869,62.6629,28.5502
"008","10pm",8.2648,63.9782,27.757
"008","11pm",8.5768,62.6182,28.805
"008","12pm",8.4999,62.9535,28.5466
"008","1am",8.4346,63.238,28.3274
"008","2am",8.4346,63.238,28.3274
"008","3am",8.4346,63.238,28.3274
"009","4am",8.367,74.6853,16.9477
"009","5am",8.208,75.1663,16.6257
"009","6am",8.1605,74.541,17.2985
"009","7am",8.8274,73.8487,17.3238
"009","8am",7.0411,74.6762,18.2827
"009","9am",5.7158,77.4455,16.8388
"009","10am",5.3046,76.0963,18.5991
"009","11am",6.1686,75.7415,18.0899
"009","12am",5.3107,76.535,18.1543
"009","1pm",4.0895,77.0177,18.8929
"009","2pm",5.086,76.8869,18.0271
"009","3pm",6.993,77.2656,15.7414
"009","4pm",6.7935,77.8806,15.3259
"009","5pm",10.7763,75.229,13.9947
"009","6pm",8.5071,76.342,15.1509
"009","7pm",9.4724,77.3056,13.222
"009","8pm",8.9231,74.9459,16.1311
"009","9pm",8.1537,75.7816,16.0647
"009","10pm",9.4336,73.8856,16.6808
"009","11pm",8.2179,75.7519,16.0302
"009","12pm",8.3863,74.6267,16.9869
"009","1am",8.2393,75.0716,16.6891
"009","2am",8.2393,75.0716,16.6891
"009","3am",8.2987,74.8918,16.8094
"010","4am",7.9719,73.6813,18.3468
"010","5am",7.9262,73.8321,18.2417
"010","6am",7.7343,74.4657,17.8
"010","7am",6.3016,75.3606,18.3378
"010","8am",5.5726,74.885,19.5424
"010","9am",4.5457,78.3949,17.0594
"010","10am",2.5743,81.4742,15.9515
"010","11am",3.6098,78.0413,18.3489
"010","12am",4.6759,75.3007,20.0234
"010","1pm",5.136,70.6004,24.2636
"010","2pm",4.8007,70.8061,24.3933
"010","3pm",5.8787,68.2942,25.8271
"010","4pm",6.011,68.395,25.594
"010","5pm",6.764,63.3215,29.9146
"010","6pm",9.0223,67.5356,23.4421
"010","7pm",8.8262,70.3174,20.8564
"010","8pm",8.8232,71.0944,20.0824
"010","9pm",8.0924,73.2836,18.624
"010","10pm",8.1834,72.9831,18.8335
"010","11pm",8.1105,73.2238,18.6657
"010","12pm",7.9168,73.8633,18.22
"010","1am",8.0451,73.4397,18.5152
"010","2am",8.0451,73.4397,18.5152
"010","3am",8.0451,73.4397,18.5152
"011","4am",15.2706,61.922,22.8074
"011","5am",15.2857,61.8842,22.83
"011","6am",13.177,63.0499,23.7731
"011","7am",14.0663,67.2542,18.6795
"011","8am",18.7822,61.5749,19.6429
"011","9am",20.4018,61.5539,18.0442
"011","10am",19.1652,61.6432,19.1916
"011","11am",22.4501,59.1667,18.3831
"011","12am",18.4597,60.4789,21.0614
"011","1pm",19.1653,54.997,25.8376
"011","2pm",17.6055,54.1574,28.2371
"011","3pm",18.2737,58.7118,23.0145
"011","4pm",17.8122,58.3088,23.879
"011","5pm",17.7851,57.6476,24.5673
"011","6pm",14.5408,60.1901,25.2692
"011","7pm",14.4302,61.6736,23.8963
"011","8pm",15.4022,62.9433,21.6545
"011","9pm",14.845,62.8962,22.2588
"011","10pm",14.884,61.8692,23.2468
"011","11pm",14.5391,62.6936,22.7673
"011","12pm",14.5983,62.5417,22.86
"011","1am",14.816,62.3564,22.8276
"011","2am",14.9008,62.141,22.9582
"011","3am",14.775,61.6162,23.6088
"012","4am",4.23,63.5022,32.2679
"012","5am",3.4767,64.0016,32.5217
"012","6am",3.5068,64.4828,32.0104
"012","7am",3.3658,62.2597,34.3745
"012","8am",2.6831,62.5703,34.7466
"012","9am",4.3526,60.7838,34.8636
"012","10am",7.2073,58.972,33.8207
"012","11am",3.8962,64.3001,31.8037
"012","12am",1.9328,61.7346,36.3326
"012","1pm",3.6027,58.095,38.3023
"012","2pm",5.219,58.795,35.986
"012","3pm",4.4854,58.5251,36.9895
"012","4pm",4.0291,55.7529,40.218
"012","5pm",4.4171,60.3912,35.1917
"012","6pm",5.6258,59.8731,34.5012
"012","7pm",4.986,59.6364,35.3777
"012","8pm",4.8041,61.6631,33.5329
"012","9pm",5.4581,63.0344,31.5075
"012","10pm",5.4163,63.3176,31.2661
"012","11pm",5.4115,63.3502,31.2384
"012","12pm",5.5454,62.4434,32.0113
"012","1am",5.4096,61.9213,32.6691
"012","2am",5.2794,62.8381,31.8825
"012","3am",5.2794,62.8381,31.8825
"013","4am",8.7315,55.2506,36.0179
"013","5am",8.7866,55.5993,35.6141
"013","6am",9.0284,54.3773,36.5943
"013","7am",9.1402,55.6337,35.2261
"013","8am",6.7611,53.2289,40.0101
"013","9am",4.8174,56.4382,38.7443
"013","10am",4.8505,56.1731,38.9764
"013","11am",3.8658,53.6108,42.5234
"013","12am",3.7663,54.5362,41.6975
"013","1pm",2.4761,59.104,38.4199
"013","2pm",4.5803,53.9332,41.4865
"013","3pm",9.7534,52.2536,37.993
"013","4pm",7.4567,54.1754,38.3679
"013","5pm",5.5166,55.1416,39.3418
"013","6pm",5.4325,57.8615,36.7059
"013","7pm",7.7414,56.3864,35.8721
"013","8pm",6.376,56.7045,36.9195
"013","9pm",7.4385,56.2065,36.3549
"013","10pm",7.8222,57.3696,34.8082
"013","11pm",8.6735,55.5477,35.7788
"013","12pm",8.69,55.4632,35.8468
"013","1am",8.6142,55.8517,35.5341
"013","2am",8.6142,55.8517,35.5341
"013","3am",8.6142,55.8517,35.5341
"014","4am",15.8569,64.4999,19.6432
"014","5am",15.8569,64.4999,19.6432
"014","6am",15.9012,63.088,21.0108
"014","7am",15.6683,62.8697,21.462
"014","8am",11.9663,63.9233,24.1105
"014","9am",11.9897,64.3744,23.6359
"014","10am",10.3118,64.3553,25.3328
"014","11am",11.014,64.5015,24.4845
"014","12am",9.1887,63.1605,27.6508
"014","1pm",6.6185,64.5167,28.8648
"014","2pm",7.2251,64.8937,27.8812
"014","3pm",7.6123,65.4189,26.9688
"014","4pm",6.997,65.2393,27.7637
"014","5pm",9.6229,60.8091,29.568
"014","6pm",11.3574,61.3047,27.3379
"014","7pm",15.5682,59.5523,24.8795
"014","8pm",13.8338,64.79,21.3762
"014","9pm",13.8721,65.9629,20.1651
"014","10pm",12.7369,67.1025,20.1606
"014","11pm",13.6724,66.8898,19.4377
"014","12pm",14.4043,66.1352,19.4604
"014","1am",14.4338,66.066,19.5002
"014","2am",14.511,65.8844,19.6046
"014","3am",14.6132,65.6442,19.7426
"015","4am",30.5647,41.5548,27.8805
"015","5am",31.3537,41.0054,27.6409
"015","6am",31.4813,41.651,26.8677
"015","7am",31.8285,42.2426,25.929
"015","8am",25.5868,48.974,25.4392
"015","9am",21.8363,53.9588,24.2049
"015","10am",22.8353,49.354,27.8107
"015","11am",21.9362,50.1828,27.881
"015","12am",22.2695,49.7801,27.9505
"015","1pm",28.3998,45.6162,25.984
"015","2pm",26.4715,50.9085,22.6199
"015","3pm",20.3214,54.2893,25.3893
"015","4pm",20.4749,55.1394,24.3857
"015","5pm",21.7598,50.4501,27.79
"015","6pm",26.6095,43.0449,30.3456
"015","7pm",27.7067,42.387,29.9063
"015","8pm",29.3788,43.8952,26.726
"015","9pm",30.8481,40.8613,28.2907
"015","10pm",32.0918,41.4074,26.5008
"015","11pm",31.7841,41.9692,26.2467
"015","12pm",30.3346,43.7436,25.9219
"015","1am",30.6091,42.3188,27.0721
"015","2am",30.3664,42.7762,26.8574
"015","3am",30.6989,42.1496,27.1515
"016","4am",23.4688,46.9818,29.5494
"016","5am",23.2277,48.1299,28.6424
"016","6am",24.3034,47.391,28.3055
"016","7am",23.4113,46.1043,30.4844
"016","8am",23.4533,44.2511,32.2956
"016","9am",25.8943,45.5256,28.5801
"016","10am",21.8062,45.7132,32.4806
"016","11am",19.8195,48.0364,32.1441
"016","12am",18.7107,50.6852,30.6041
"016","1pm",18.2428,46.8084,34.9488
"016","2pm",19.0934,41.8076,39.099
"016","3pm",20.1055,41.5868,38.3077
"016","4pm",17.8124,46.3257,35.8619
"016","5pm",15.6838,46.5472,37.769
"016","6pm",17.4896,47.647,34.8634
"016","7pm",21.6978,48.2365,30.0657
"016","8pm",24.9516,46.3996,28.6488
"016","9pm",24.9849,46.0566,28.9585
"016","10pm",23.6086,46.0519,30.3395
"016","11pm",24.3334,46.6176,29.049
"016","12pm",24.2317,47.2013,28.567
"016","1am",24.5784,47.3368,28.0847
"016","2am",24.7864,46.8911,28.3224
"016","3am",24.9301,46.5833,28.4866
"017","4am",23.4257,42.0153,34.559
"017","5am",23.3463,42.2118,34.4419
"017","6am",24.2134,40.3741,35.4125
"017","7am",23.921,42.0204,34.0586
"017","8am",22.1852,45.1459,32.6689
"017","9am",19.9001,50.5193,29.5806
"017","10am",18.4353,54.4183,27.1464
"017","11am",19.4241,52.4065,28.1694
"017","12am",20.3183,49.4595,30.2222
"017","1pm",19.6534,53.071,27.2756
"017","2pm",19.8594,55.8853,24.2553
"017","3pm",19.9502,54.4782,25.5716
"017","4pm",19.3081,53.7021,26.9898
"017","5pm",18.7791,52.2929,28.928
"017","6pm",19.6341,50.6029,29.763
"017","7pm",19.1246,50.5726,30.3028
"017","8pm",19.6293,49.6459,30.7248
"017","9pm",18.8752,52.4755,28.6493
"017","10pm",20.1307,50.4461,29.4232
"017","11pm",19.7363,51.035,29.2287
"017","12pm",22.9355,43.0978,33.9666
"017","1am",23.5063,41.6818,34.8119
"017","2am",23.5063,41.6818,34.8119
"017","3am",23.3007,42.1918,34.5075
"018","4am",19.4787,51.7276,28.7937
"018","5am",19.6477,51.3088,29.0435
"018","6am",19.5787,51.4797,28.9416
"018","7am",18.9932,50.9707,30.0362
"018","8am",18.7277,51.743,29.5293
"018","9am",22.1191,51.1707,26.7102
"018","10am",23.9332,53.9989,22.0679
"018","11am",22.8198,57.5398,19.6405
"018","12am",24.4292,52.1452,23.4256
"018","1pm",24.2719,53.9198,21.8083
"018","2pm",21.1569,54.315,24.5281
"018","3pm",20.2493,54.9891,24.7616
"018","4pm",19.7193,52.4804,27.8003
"018","5pm",20.1575,48.9193,30.9232
"018","6pm",21.0421,45.8555,33.1024
"018","7pm",20.473,50.0531,29.4739
"018","8pm",20.9198,49.1274,29.9528
"018","9pm",21.9032,47.8489,30.2479
"018","10pm",22.8237,46.5918,30.5845
"018","11pm",22.0557,49.415,28.5294
"018","12pm",21.2816,51.1902,27.5281
"018","1am",20.7427,52.4263,26.831
"018","2am",20.4544,52.3134,27.2322
"018","3am",20.5811,52.018,27.4009
"019","4am",15.1117,51.3598,33.5284
"019","5am",14.828,53.0648,32.1073
"019","6am",15.5299,51.6721,32.798
"019","7am",16.9521,51.8322,31.2157
"019","8am",12.2785,61.7537,25.9677
"019","9am",13.7212,65.1773,21.1015
"019","10am",12.3739,67.2011,20.4251
"019","11am",13.2948,66.5237,20.1815
"019","12am",13.418,65.9428,20.6392
"019","1pm",14.896,56.792,28.312
"019","2pm",10.2682,64.518,25.2138
"019","3pm",9.5511,63.5559,26.893
"019","4pm",10.5867,61.9076,27.5058
"019","5pm",7.0235,65.5836,27.3929
"019","6pm",7.4294,61.6533,30.9173
"019","7pm",9.8853,59.2514,30.8633
"019","8pm",11.2586,59.7898,28.9516
"019","9pm",12.4998,58.2265,29.2736
"019","10pm",12.8058,55.4523,31.7419
"019","11pm",13.8064,53.6964,32.4972
"019","12pm",15.3631,50.3486,34.2883
"019","1am",16.0239,51.014,32.9621
"019","2am",16.0239,51.014,32.9621
"019","3am",16.0239,51.014,32.9621
"020","4am",10.1852,53.8451,35.9696
"020","5am",10.272,53.4519,36.2761
"020","6am",9.3966,53.3425,37.2609
"020","7am",8.7834,53.7228,37.4938
"020","8am",8.564,53.039,38.397
